zipcode,Station_Name,Corner,Latitude,Longitude
10010,23rd St,NW,40.739674,-73.98704
10010,23rd St,NE,40.739477,-73.986562
10010,14th St-Union Square,SW,40.735184,-73.989793
10010,14th St-Union Square,SW,40.734495,-73.990311
10010,14th St-Union Square,SW,40.734444,-73.990184
10010,Union Square,SW,40.735311,-73.990265
zipcode,Station_Name,Corner,Latitude,Longitude
10023,72nd St,SW,40.776217,-73.976247
10023,72nd St,NW,40.776431,-73.975977
10023,72nd St,NE,40.779146,-73.981822
10023,72nd St,NE,40.778875,-73.981877
10023,66th St-Lincoln Center,SE,40.773738,-73.982448
10023,66th St-Lincoln Center,SE,40.773829,-73.982433
10023,66th St-Lincoln Center,SE,40.773576,-73.982425
10023,72nd St,SW,40.77494,-73.977144
10023,59th St,NE,40.768649,-73.981184
10023,72nd St,SE,40.778585,-73.981923
10023,66th St-Lincoln Center,SE,40.773536,-73.982006
10023,66th St-Lincoln Center,SE,40.773457,-73.982004
10023,66th St-Lincoln Center,SE,40.773682,-73.982015
10023,59th St-Columbus Circle,SW,40.768777,-73.982106
10023,59th St-Columbus Circle,SE,40.769227,-73.9824
10023,59th St-Columbus Circle,SE,40.769365,-73.982392
10023,59th St,West,40.768719,-73.981788
10023,72nd St,SE,40.778437,-73.981947
zipcode,Station_Name,Corner,Latitude,Longitude
10022,5th Av,SE,40.764728,-73.972396
10022,5th Av,NE,40.764849,-73.972306
10022,5th Av,SE,40.764657,-73.972229
10022,Lexington Av,NW,40.764884,-73.966514
10022,Lexington Av,NW,40.764874,-73.966431
10022,Lexington Av,NW,40.764881,-73.966411
10022,Lexington Av,SW,40.764721,-73.966552
10022,Lexington Av,NW,40.764866,-73.966422
10022,57th St,NE,40.763874,-73.977358
10022,57th St,SW,40.764227,-73.97743
10022,57th St,SE,40.763998,-73.977264
10022,57th St,NW,40.764652,-73.977119
10022,57th St,NE,40.764564,-73.97683
10022,Lexington Av-53rd St,NE,40.758329,-73.970567
10022,Lexington Av-53rd St,SE,40.75812,-73.970958
10022,5th Av-53rd St,SW,40.760422,-73.976146
10022,5th Av-53rd St,NE,40.760373,-73.975562
10022,5th Av-53rd St,SE,40.760267,-73.975638
10022,59th St,SW,40.762836,-73.96804
10022,51st St,SW,40.757123,-73.972117
10022,51st St,NW,40.757293,-73.972108
10022,51st St,SW,40.757157,-73.972196
10022,51st St,NW,40.757298,-73.971939
10022,Lexington Av,SW,40.762092,-73.96634
10022,Lexington Av,NW,40.762353,-73.966155
10022,Lexington Av,SE,40.761996,-73.966105
10022,Lexington Av,NE,40.762255,-73.965918
10022,5th Av,SW,40.764599,-73.974228
10022,5th Av,NE,40.764859,-73.973998
10022,Lexington Av-53rd St,NE,40.757784,-73.971098
10022,Lexington Av-53rd St,NE,40.757804,-73.971141
10022,5th Av-53rd St,NE,40.759721,-73.973858
10022,5th Av-53rd St,SE,40.759556,-73.974068
10022,59th St,SE,40.76266,-73.967625
10022,59th St,NW,40.762414,-73.968371
10022,59th St,SW,40.762266,-73.968479
